RT,area,Sofware/tool
8.774,483322,ChemStation/GCalignR
9.3735,412604,ChemStation/GCalignR
9.4468,47239316,ChemStation/GCalignR
9.7085,493990,ChemStation/GCalignR
9.8616,1519123,ChemStation/GCalignR
9.96575,761754,ChemStation/GCalignR
10.76825,661178,ChemStation/GCalignR
10.963,425260,ChemStation/GCalignR
11.2364,1217340,ChemStation/GCalignR
11.4152,4551983,ChemStation/GCalignR
11.5116,3273799,ChemStation/GCalignR
11.5855,209953,ChemStation/GCalignR
11.639,0,ChemStation/GCalignR
12.2888,1071219,ChemStation/GCalignR
12.3388,3773786,ChemStation/GCalignR
12.3796,3188492,ChemStation/GCalignR
12.4586,2534686,ChemStation/GCalignR
12.5308,7848788,ChemStation/GCalignR
12.616,22750352,ChemStation/GCalignR
12.96,1770189,ChemStation/GCalignR
13.0718,11227976,ChemStation/GCalignR
13.1306,2787240,ChemStation/GCalignR
13.2478,17401727,ChemStation/GCalignR
13.311,0,ChemStation/GCalignR
13.40633333,1337699,ChemStation/GCalignR
13.49825,2846447,ChemStation/GCalignR
13.6144,3759033,ChemStation/GCalignR
13.6966,7563926,ChemStation/GCalignR
13.7952,34028703,ChemStation/GCalignR
13.9264,2916703,ChemStation/GCalignR
14.2234,2433530,ChemStation/GCalignR
14.3926,2785995,ChemStation/GCalignR
14.481,4236544,ChemStation/GCalignR
14.5344,9817351,ChemStation/GCalignR
14.7294,2237039,ChemStation/GCalignR
14.764,0,ChemStation/GCalignR
15.18533333,1299913,ChemStation/GCalignR
15.30575,1347211,ChemStation/GCalignR
9.444,1598464,metaMS
13.793,553280,metaMS
12.617,450560,metaMS
13.686,197632,metaMS
13.251,148480,metaMS
14.539,80328,metaMS
13.125,61376,metaMS
11.511,60624,metaMS
13.071,47054,metaMS
14.395,45664,metaMS
11.232,27344,metaMS
14.479,26560,metaMS
15.306,15391,metaMS
11.416,11733,metaMS
12.643,10001,metaMS
8.775,7289,metaMS
9.856,4453,metaMS
13.498,3824,metaMS
16.389,3777,metaMS
15.159,3001,metaMS
10.962,1937,metaMS
9.709,2025,metaMS
10.136,1977,metaMS
8.619,1847,metaMS
11.011,1223,metaMS
15.915,1349,metaMS
11.739,1245,metaMS
10.253,1241,metaMS
13.357,1000,metaMS
15.181,0,metaMS
13.931,0,metaMS
12.282,0,metaMS
11.092,0,metaMS
13.742,0,metaMS
9.708,0,metaMS
10.839,0,metaMS
15.463,0,metaMS
12.466,0,metaMS
15.784,0,metaMS
14.326,0,metaMS
10.053,0,metaMS
16.924,0,metaMS
5.79,10337.6895,GNPS
7.98,3458.264059,GNPS
7.98,1.953632394,GNPS
8.62,35682.33728,GNPS
8.78,72184.88229,GNPS
8.93,2360.75452,GNPS
9.13,14315.33257,GNPS
9.13,3785.148295,GNPS
9.36,16252.5143,GNPS
9.36,2496.20524,GNPS
9.45,4863478.447,GNPS
9.52,125460.1942,GNPS
9.64,7315.639555,GNPS
9.71,26185.26304,GNPS
9.86,125030.0527,GNPS
10.05,16774.91654,GNPS
10.13,18296.32368,GNPS
10.22,8263.963365,GNPS
10.25,30651.2424,GNPS
10.37,1092.623837,GNPS
10.37,833.4348428,GNPS
10.44,6825.896434,GNPS
10.54,0,GNPS
10.54,3454.159978,GNPS
10.54,1970.874988,GNPS
10.54,0,GNPS
10.77,34225.59962,GNPS
10.84,7529.509478,GNPS
10.97,31843.03633,GNPS
11.11,17292.78809,GNPS
11.24,116830.3731,GNPS
11.33,3661.320232,GNPS
11.33,2011.856269,GNPS
11.42,438403.0952,GNPS
11.52,294984.0031,GNPS
11.59,0,GNPS
11.59,17.18381299,GNPS
11.59,0,GNPS
11.59,15667.32858,GNPS
11.74,5873.905845,GNPS
11.74,0,GNPS
12.02,3172.388864,GNPS
12.12,24752.19515,GNPS
12.16,0,GNPS
12.16,0,GNPS
12.16,1348.209172,GNPS
12.29,52955.25354,GNPS
12.36,562201.4248,GNPS
12.46,103863.9803,GNPS
12.53,774823.9925,GNPS
12.61,2243987.574,GNPS
12.69,9012.653784,GNPS
12.69,0,GNPS
12.75,44854.64791,GNPS
12.95,174020.4921,GNPS
13.06,1173966.487,GNPS
13.14,190007.6007,GNPS
13.25,1017248.982,GNPS
13.32,0,GNPS
13.32,11022.36027,GNPS
13.36,14690.92704,GNPS
13.47,8459.324266,GNPS
13.5,26362.48902,GNPS
13.61,79918.59757,GNPS
13.69,544386.1218,GNPS
13.74,0,GNPS
13.74,38527.43229,GNPS
13.79,3181480.92,GNPS
13.84,25137.29597,GNPS
13.88,37621.87079,GNPS
13.93,128032.3185,GNPS
14.14,5855.319759,GNPS
14.23,222628.6561,GNPS
14.39,252590.8392,GNPS
14.48,408716.8882,GNPS
14.54,1217336.078,GNPS
14.57,24616.358,GNPS
14.94,13839.09288,GNPS
15.16,15685.37541,GNPS
15.19,71324.3465,GNPS
15.24,9655.261372,GNPS
15.31,102364.6581,GNPS
15.79,5700.411174,GNPS
15.92,17607.00793,GNPS
16.01,9267.124912,GNPS
16.15,16554.10868,GNPS
16.39,56148.65827,GNPS
16.77,0,GNPS
16.77,0,GNPS
16.86,10761.53322,GNPS
16.86,128.3438418,GNPS
16.86,0,GNPS
16.92,0,GNPS
16.92,4990.728903,GNPS
17.16,2948.50867,GNPS
17.21,1369.173866,GNPS
17.21,0,GNPS